Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
scotus,Supreme Court of the United States,63691,Federal Appellate,SCOTUS,1789-09-24,Unknown,Yes,2014-10-30T18:59
ca1,Court of Appeals for the First Circuit,30495,Federal Appellate,1st Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:57
ca2,Court of Appeals for the Second Circuit,47642,Federal Appellate,2d Cir.,1891-03-03,Unknown,Yes,2013-08-14T09:46
ca3,Court of Appeals for the Third Circuit,48590,Federal Appellate,3rd Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:57
ca4,Court of Appeals for the Fourth Circuit,39388,Federal Appellate,4th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58
ca5,Court of Appeals for the Fifth Circuit,90347,Federal Appellate,5th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58
ca6,Court of Appeals for the Sixth Circuit,41632,Federal Appellate,6th Cir.,1891-03-03,Unknown,Yes,2014-11-07T13:21
ca7,Court of Appeals for the Seventh Circuit,48388,Federal Appellate,7th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58
ca8,Court of Appeals for the Eighth Circuit,55782,Federal Appellate,8th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58
ca9,Court of Appeals for the Ninth Circuit,67646,Federal Appellate,9th Cir.,1891-03-03,Unknown,Yes,2014-10-30T18:58
ca10,Court of Appeals for the Tenth Circuit,29694,Federal Appellate,10th Cir.,2/28/1929,Unknown,Yes,2013-08-14T09:46
ca11,Court of Appeals for the Eleventh Circuit,46669,Federal Appellate,11th Cir.,10/14/1980,Unknown,Yes,2013-08-14T09:46
cadc,Court of Appeals for the D.C. Circuit,23328,Federal Appellate,D.C. Cir.,1893-02-09,Unknown,Yes,2014-10-30T18:58
cafc,Court of Appeals for the Federal Circuit,12391,Federal Appellate,Fed. Cir.,4/2/1982,Unknown,Yes,2014-10-30T18:59
caca,Circuit Court for California,0,Federal Appellate,,1804-10-01,1812-04-30,Yes,2016-03-16T18:01
afcca,United States Air Force Court of Criminal Appeals,179,Federal Special,A.F.C.C.A.,Unknown,Unknown,Yes,2014-09-18T18:41
asbca,Armed Services Board of Contract Appeals,1039,Federal Special,A.S.B.C.A.,Unknown,Unknown,Yes,2014-09-18T18:15
armfor,Court of Appeals for the Armed Forces,636,Federal Special,C.A.A.F.,5/31/1951,Unknown,Yes,2013-08-14T15:18
acca,Army Court of Criminal Appeals,124,Federal Special,A.C.C.A.,Unknown,Unknown,Yes,2015-01-08T16:24
cc,United States Court of Claims,930,Federal Special,Ct. Cl.,1855-02-24,10/29/1992,Yes,2013-10-17T17:47
uscfc,United States Court of Federal Claims,2618,Federal Special,Fed. Cl.,4/2/1982,Unknown,Yes,2013-08-14T15:19
com,Commerce Court,0,Federal Special,Comm. Ct.,1/1/1910,1/1/1913,Yes,2013-08-14T15:19
ccpa,Court of Customs and Patent Appeals,2776,Federal Special,C.C.P.A.,8/5/1909,4/2/1982,Yes,2013-08-14T15:19
cusc,United States Customs Court,161,Federal Special,Cust. Ct.,1/1/1926,1/1/1980,Yes,2014-06-18T17:34
tax,United States Tax Court,639,Federal Special,Tax Ct.,Unknown,Unknown,Yes,2013-08-14T15:20
mc,United States Court of Military Commission Review,7,Federal Special,M.C.,Unknown,Unknown,Yes,2014-11-24T09:05
mspb,Merit Systems Protection Board,176,Federal Special,MSPB,Unknown,Unknown,Yes,2014-09-02T16:05
nmcca,Navy-Marine Corps Court of Criminal Appeals,717,Federal Special,N.M.C.C.A.,Unknown,Unknown,Yes,2014-09-18T18:48
cavc,United States Court of Appeals for Veterans Claims,865,Federal Special,Vet. App.,Unknown,Unknown,Yes,2013-08-14T15:20
bva,Board of Veterans' Appeals,0,Federal Special,Board of Vet. App.,Unknown,Unknown,Yes,2014-09-18T18:06
eca,Emergency Court of Appeals,97,Federal Special,Emer. Ct. App.,1/30/1942,4/18/1962,Yes,2013-08-14T15:20
tecoa,Temporary Emergency Court of Appeals,0,Federal Special,Temp. Emerg. Ct. App.,12/1/1971,10/29/1992,Yes,2013-08-14T15:20
fiscr,Foreign Intelligence Surveillance Court of Review,2,Federal Special,FISA Ct. Rev.,10/25/1978,Unknown,Yes,2014-05-27T08:58
fisc,Foreign Intelligence Surveillance Court,5,Federal Special,FISA Ct.,10/25/1978,Unknown,Yes,2014-05-27T08:58
reglrailreorgct,Special Court under the Regional Rail Reorganization Act,40,Federal Special,Regl. Rail Reorg. Act,1/1/1973,3/1/1996,Yes,2013-08-14T15:20
cit,United States Court of International Trade,3960,Federal Special,Ct. Intl. Trade,Unknown,Unknown,Yes,2013-08-14T15:20
bap1,Bankruptcy Appellate Panel of the First Circuit,283,Federal Bankruptcy Panel,1st Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:27
bap2,Bankruptcy Appellate Panel of the Second Circuit,27,Federal Bankruptcy Panel,2d Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap6,Bankruptcy Appellate Panel of the Sixth Circuit,254,Federal Bankruptcy Panel,6th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap8,United States Bankruptcy Appellate Panel for the Eighth Circuit,514,Federal Bankruptcy Panel,8th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap9,United States Bankruptcy Appellate Panel for the Ninth Circuit,1488,Federal Bankruptcy Panel,9th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap10,Bankruptcy Appellate Panel of the Tenth Circuit,401,Federal Bankruptcy Panel,10th Cir. BAP,Unknown,Unknown,Yes,2014-09-02T15:59
bapme,Bankruptcy Appellate Panel D. Maine,2,Federal Bankruptcy Panel,Me. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bapma,Bankruptcy Appellate Panel of Massachusetts,3,Federal Bankruptcy Panel,Mass. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
almb,United States Bankruptcy Court M.D. Alabama,180,Federal Bankruptcy,Bankr. M.D. Ala.,Unknown,Unknown,Yes,2013-08-14T16:55
alnb,United States Bankruptcy Court N.D. Alabama,459,Federal Bankruptcy,Bankr. N.D. Ala.,Unknown,Unknown,Yes,2013-08-14T18:21
alsb,United States Bankruptcy Court S.D. Alabama,114,Federal Bankruptcy,Bankr. S.D. Ala.,Unknown,Unknown,Yes,2013-08-15T09:44
akb,United States Bankruptcy Court D. Alaska,51,Federal Bankruptcy,Bankr. D. Alaska,Unknown,Unknown,Yes,2013-08-14T17:32
arb,United States Bankruptcy Court D. Arizona,355,Federal Bankruptcy,Bankr. D. Ariz.,Unknown,Unknown,Yes,2013-08-14T22:40
areb,United States Bankruptcy Court E.D. Arkansas,520,Federal Bankruptcy,Bankr. E.D. Ark.,Unknown,Unknown,Yes,2013-08-14T22:23
arwb,United States Bankruptcy Court W.D. Arkansas,241,Federal Bankruptcy,Bankr. W.D. Ark.,Unknown,Unknown,Yes,2013-08-14T18:00
cacb,United States Bankruptcy Court C.D. California,568,Federal Bankruptcy,Bankr. C.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:19
caeb,United States Bankruptcy Court E.D. California,274,Federal Bankruptcy,Bankr. E.D. Cal.,Unknown,Unknown,Yes,2013-08-14T18:03
canb,United States Bankruptcy Court N.D. California,337,Federal Bankruptcy,Bankr. N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30
casb,United States Bankruptcy Court S.D. California,348,Federal Bankruptcy,Bankr. S.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30
cob,United States Bankruptcy Court D. Colorado,744,Federal Bankruptcy,Bankr.D. Colo.,Unknown,Unknown,Yes,2013-08-14T17:23
ctb,United States Bankruptcy Court D. Connecticut,822,Federal Bankruptcy,Bankr. D. Conn.,Unknown,Unknown,Yes,2013-08-14T17:24
deb,United States Bankruptcy Court D. Delaware,873,Federal Bankruptcy,Bankr. D. Del.,Unknown,Unknown,Yes,2013-08-15T09:45
dcb,United States Bankruptcy Court District of Columbia,1,Federal Bankruptcy,Bankr. D.C.,Unknown,Unknown,Yes,2013-08-14T17:00
flmb,United States Bankruptcy Court M.D. Florida,2870,Federal Bankruptcy,Bankr. M.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:05
flnb,United States Bankruptcy Court N.D. Florida,266,Federal Bankruptcy,Bankr. N.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:44
flsb,United States Bankruptcy Court S.D. Florida.,1632,Federal Bankruptcy,Bankr. S.D. Florida,Unknown,Unknown,Yes,2013-08-14T16:54
gamb,United States Bankruptcy Court M.D. Georgia,463,Federal Bankruptcy,Bankr. M.D. Ga.,Unknown,Unknown,Yes,2013-08-14T22:53
ganb,United States Bankruptcy Court N.D. Georgia,812,Federal Bankruptcy,Bankr. N.D. Ga.,Unknown,Unknown,Yes,2013-08-14T17:41
gasb,United States Bankruptcy Court S.D. Georgia,361,Federal Bankruptcy,Bankr. S.D. Ga.,Unknown,Unknown,Yes,2013-08-14T16:32
hib,United States Bankruptcy Court D. Hawaii,163,Federal Bankruptcy,Bankr. D. Haw.,Unknown,Unknown,Yes,2013-08-15T09:30
idb,United States Bankruptcy Court D. Idaho,430,Federal Bankruptcy,Bankr. D. Idaho,Unknown,Unknown,Yes,2013-08-14T18:15
ilcb,United States Bankruptcy Court C.D. Illinois,428,Federal Bankruptcy,Bankr. C.D. Ill.,Unknown,Unknown,Yes,2014-11-24T09:04
ilnb,United States Bankruptcy Court N.D. Illinois,1917,Federal Bankruptcy,Bankr. N.D. Ill.,Unknown,Unknown,Yes,2014-11-24T09:04
ilsb,United States Bankruptcy Court S.D. Illinois,220,Federal Bankruptcy,Bankr. S.D. Ill.,Unknown,Unknown,Yes,2013-08-15T09:06
innb,United States Bankruptcy Court N.D. Indiana,366,Federal Bankruptcy,Bankr. N.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:34
insb,United States Bankruptcy Court S.D. Indiana,170,Federal Bankruptcy,Bankr. S.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:19
ianb,United States Bankruptcy Court N.D. Iowa,397,Federal Bankruptcy,Bankr. D. Iowa,Unknown,Unknown,Yes,2013-08-14T17:37
iasb,United States Bankruptcy Court S.D. Iowa,138,Federal Bankruptcy,Bankr. S.D. Iowa,Unknown,Unknown,Yes,2013-08-14T18:01
ksb,United States Bankruptcy Court D. Kansas,624,Federal Bankruptcy,Bankr. D. Kan.,Unknown,Unknown,Yes,2013-08-14T16:43
kyeb,United States Bankruptcy Court E.D. Kentucky,116,Federal Bankruptcy,Bankr. E.D. Ky.,Unknown,Unknown,Yes,2013-08-15T10:03
kywb,United States Bankruptcy Court W.D. Kentucky,511,Federal Bankruptcy,Bankr. W.D. Ky.,Unknown,Unknown,Yes,2013-08-15T09:23
laeb,United States Bankruptcy Court E.D. Louisiana,102,Federal Bankruptcy,Bankr. E.D. La.,Unknown,Unknown,Yes,2013-08-14T22:54
lamb,United States Bankruptcy Court M.D. Louisiana,109,Federal Bankruptcy,Bankr. M.D. La.,Unknown,Unknown,Yes,2013-08-14T22:37
lawb,United States Bankruptcy Court W.D. Louisiana,188,Federal Bankruptcy,Bankr. W.D. La.,Unknown,Unknown,Yes,2013-08-15T09:01
meb,United States Bankruptcy Court D. Maine,319,Federal Bankruptcy,Bankr. D. Me.,Unknown,Unknown,Yes,2014-11-24T09:05
mdb,United States Bankruptcy Court D. Maryland,505,Federal Bankruptcy,Bankr. D. Md.,Unknown,Unknown,Yes,2013-08-14T18:06
mab,United States Bankruptcy Court D. Massachusetts,1502,Federal Bankruptcy,Bankr. D. Mass.,Unknown,Unknown,Yes,2013-08-14T16:41
mieb,United States Bankruptcy Court E.D. Michigan,745,Federal Bankruptcy,Bankr. E.D. Mich.,Unknown,Unknown,Yes,2013-08-14T18:10
miwb,United States Bankruptcy Court W.D. Michigan,404,Federal Bankruptcy,Bankr. W.D. Mich.,Unknown,Unknown,Yes,2013-08-14T17:48
mnb,United States Bankruptcy Court D. Minnesota,688,Federal Bankruptcy,Bankr. D. Minn.,Unknown,Unknown,Yes,2013-08-14T17:13
msnb,United States Bankruptcy Court N.D. Mississippi,172,Federal Bankruptcy,Bankr. N.D. Miss.,Unknown,Unknown,Yes,2013-08-15T09:22
mssb,United States Bankruptcy Court S.D. Mississippi,98,Federal Bankruptcy,Bankr. S.D. Miss.,Unknown,Unknown,Yes,2013-08-15T09:05
moeb,United States Bankruptcy Court E.D. Missouri,545,Federal Bankruptcy,Bankr. E.D. Mo.,Unknown,Unknown,Yes,2013-08-14T18:05
mowb,United States Bankruptcy Court W.D. Missouri,1133,Federal Bankruptcy,Bankr. W.D. Mo.,Unknown,Unknown,Yes,2013-08-14T17:06
mtb,United States Bankruptcy Court D. Montana,310,Federal Bankruptcy,Bankr. D. Mont.,Unknown,Unknown,Yes,2013-08-14T18:04
nebraskab,United States Bankruptcy Court D. Nebraska,333,Federal Bankruptcy,Bankr. D. Neb.,Unknown,Unknown,Yes,2013-08-14T22:49
nvb,United States Bankruptcy Court D. Nevada,198,Federal Bankruptcy,Bankr. D. Nev.,Unknown,Unknown,Yes,2013-08-14T18:16
nhb,United States Bankruptcy Court D. New Hampshire,408,Federal Bankruptcy,Bankr. D.N.H.,Unknown,Unknown,Yes,2013-08-14T17:07
njb,United States Bankruptcy Court D. New Jersey,635,Federal Bankruptcy,Bankr. D.N.J.,Unknown,Unknown,Yes,2013-08-14T17:15
nmb,United States Bankruptcy Court D. New Mexico,312,Federal Bankruptcy,Bankr. D.N.M.,Unknown,Unknown,Yes,2013-08-14T17:14
nyeb,United States Bankruptcy Court E.D. New York,1063,Federal Bankruptcy,Bankr. E.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T16:38
nynb,United States Bankruptcy Court N.D. New York,355,Federal Bankruptcy,Bankr. N.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T22:26
nysb,United States Bankruptcy Court S.D. New York,2457,Federal Bankruptcy,Bankr. S.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T16:39
nywb,United States Bankruptcy Court W.D. New York,542,Federal Bankruptcy,Bankr. W.D.N.Y.,Unknown,Unknown,Yes,2013-08-14T17:26
nceb,United States Bankruptcy Court E.D. North Carolina,245,Federal Bankruptcy,Bankr. E.D.N.C.,Unknown,Unknown,Yes,2013-08-15T09:17
ncmb,United States Bankruptcy Court M.D. North Carolina,191,Federal Bankruptcy,Bankr. M.D.N.C.,Unknown,Unknown,Yes,2013-08-14T17:10
ncwb,United States Bankruptcy Court W.D. North Carolina,84,Federal Bankruptcy,Bankr. W.D.N.C.,Unknown,Unknown,Yes,2013-08-15T09:47
ndb,United States Bankruptcy Court D. North Dakota,297,Federal Bankruptcy,Bankr. D.N.D.,Unknown,Unknown,Yes,2014-11-24T09:06
ohnb,United States Bankruptcy Court N.D. Ohio,1780,Federal Bankruptcy,Bankr. N.D. Ohio,Unknown,Unknown,Yes,2013-08-14T17:20
ohsb,United States Bankruptcy Court S.D. Ohio,1631,Federal Bankruptcy,Bankr. S.D. Ohio,Unknown,Unknown,Yes,2013-08-14T17:43
okeb,United States Bankruptcy Court E.D. Oklahoma,98,Federal Bankruptcy,Bankr. E.D. Okla.,Unknown,Unknown,Yes,2013-08-15T09:53
oknb,United States Bankruptcy Court N.D. Oklahoma,288,Federal Bankruptcy,Bankr. N.D. Okla,Unknown,Unknown,Yes,2013-08-14T18:12
okwb,United States Bankruptcy Court W.D. Oklahoma,268,Federal Bankruptcy,Bankr. W.D. Okla.,Unknown,Unknown,Yes,2013-08-14T22:18
orb,United States Bankruptcy Court D. Oregon,384,Federal Bankruptcy,Bankr. D. Or.,Unknown,Unknown,Yes,2013-08-14T18:13
paeb,United States Bankruptcy Court E.D. Pennsylvania,2094,Federal Bankruptcy,Bankr. E.D. Pa.,Unknown,Unknown,Yes,2013-08-14T17:25
pamb,United States Bankruptcy Court M.D. Pennsylvania,427,Federal Bankruptcy,Bankr. M.D. Penn.,Unknown,Unknown,Yes,2013-08-14T17:40
pawb,United States Bankruptcy Court W.D. Pennsylvania,1057,Federal Bankruptcy,Bankr. W.D. Pa.,Unknown,Unknown,Yes,2013-08-14T17:11
rib,United States Bankruptcy Court D. Rhode Island,448,Federal Bankruptcy,Bankr. D.R.I.,Unknown,Unknown,Yes,2013-08-15T09:38
scb,United States Bankruptcy Court D. South Carolina,417,Federal Bankruptcy,Bankr. D.S.C.,Unknown,Unknown,Yes,2014-11-24T09:49
sdb,United States Bankruptcy Court D. South Dakota,206,Federal Bankruptcy,Bankr. D.S.D.,Unknown,Unknown,Yes,2013-08-15T09:33
tneb,United States Bankruptcy Court E.D. Tennessee,663,Federal Bankruptcy,Bankr. E.D. Tenn.,Unknown,Unknown,Yes,2013-08-14T18:07
tnmb,United States Bankruptcy Court M.D. Tennessee,388,Federal Bankruptcy,Bankr. M.D. Tenn.,Unknown,Unknown,Yes,2013-08-14T22:51
tnwb,United States Bankruptcy Court W.D. Tennessee,264,Federal Bankruptcy,Bankr. W.D. Tenn.,Unknown,Unknown,Yes,2013-08-14T22:47
tennesseeb,United States Bankruptcy Court D. Tennessee,12,Federal Bankruptcy,Bankr. D. Tenn.,Unknown,Unknown,Yes,2013-09-07T14:56
txeb,United States Bankruptcy Court E.D. Texas,245,Federal Bankruptcy,Bankr. E.D. Tex.,Unknown,Unknown,Yes,2013-08-14T17:28
txnb,United States Bankruptcy Court N.D. Texas,848,Federal Bankruptcy,Bankr. N.D. Tex.,Unknown,Unknown,Yes,2013-08-14T22:25
txsb,United States Bankruptcy Court S.D. Texas,565,Federal Bankruptcy,Bankr. S.D. Tex.,Unknown,Unknown,Yes,2013-08-14T22:42
txwb,United States District Court W.D. Texas,435,Federal Bankruptcy,Bankr. W.D. Tex.,Unknown,Unknown,Yes,2013-08-14T17:38
utb,United States Bankruptcy Court D. Utah,221,Federal Bankruptcy,Bankr. D. Utah,Unknown,Unknown,Yes,2013-08-14T22:45
vtb,United States Bankruptcy Court D. Vermont,343,Federal Bankruptcy,Bankr. D. Vt.,Unknown,Unknown,Yes,2013-08-14T22:43
vaeb,United States Bankruptcy Court E.D. Virginia,1113,Federal Bankruptcy,Bankr. E.D. Va.,Unknown,Unknown,Yes,2013-08-14T17:50
vawb,United States Bankruptcy Court W.D. Virginia,416,Federal Bankruptcy,Bankr. W.D. Va.,Unknown,Unknown,Yes,2013-08-14T17:29
waeb,United States Bankruptcy Court E.D. Washington,53,Federal Bankruptcy,Bankr. E.D. Wash.,Unknown,Unknown,Yes,2013-08-15T09:52
wawb,United States Bankruptcy Court W.D. Washington,148,Federal Bankruptcy,Bankr. W.D. Wash.,Unknown,Unknown,Yes,2013-08-15T09:32
wvnb,United States District Court N.D. West Virginia,82,Federal Bankruptcy,Bankr. N.D.W. Va.,Unknown,Unknown,Yes,2013-08-14T17:16
wvsb,United States Bankruptcy Court S.D. West Virginia,41,Federal Bankruptcy,Bankr. S.D.W. Va.,Unknown,Unknown,Yes,2013-08-15T10:08
wieb,United States Bankruptcy Court E.D. Wisconsin,388,Federal Bankruptcy,Bankr. E.D. Wis.,Unknown,Unknown,Yes,2013-08-14T16:59
wiwb,United States Bankruptcy Court W.D. Wisconsin,364,Federal Bankruptcy,Bankr. W.D. Wis.,Unknown,Unknown,Yes,2013-08-14T22:27
wyb,United States Bankruptcy Court D. Wyoming,39,Federal Bankruptcy,Bankr. D. Wyo.,Unknown,Unknown,Yes,2013-08-15T10:09
gub,United States Bankruptcy Court D. Guam,2,Federal Bankruptcy,Bankr. D. Guam,Unknown,Unknown,Yes,2013-08-15T11:08
nmib,United States Bankruptcy Court Northern Mariana Islands,0,Federal Bankruptcy,Bankr. N. Mar. I.,Unknown,Unknown,Yes,2013-09-07T14:24
prb,United States Bankruptcy Court D. Puerto Rico,152,Federal Bankruptcy,Bankr. D.P.R.,Unknown,Unknown,Yes,2013-08-15T11:07
vib,United States Bankruptcy Court D. Virgin Islands,5,Federal Bankruptcy,Bankr. D.V.I.,Unknown,Unknown,Yes,2013-08-15T10:29
dcd,District Court District of Columbia,26381,Federal District,D.C.,Unknown,Unknown,Yes,2014-05-19T17:58
ald,District Court D. Alabama,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
almd,District Court M.D. Alabama,2266,Federal District,M.D. Ala.,Unknown,Unknown,Yes,2013-08-14T15:23
alnd,District Court N.D. Alabama,1247,Federal District,N.D. Ala.,Unknown,Unknown,Yes,2013-08-14T22:35
alsd,District Court S.D. Alabama,724,Federal District,S.D. Ala.,Unknown,Unknown,Yes,2013-10-22T08:47
akd,District Court D. Alaska,444,Federal District,D. Alaska,Unknown,Unknown,Yes,2013-08-15T10:49
azd,District Court D. Arizona,1286,Federal District,D. Ariz.,Unknown,Unknown,Yes,2013-08-14T15:23
ared,District Court E.D. Arkansas,1190,Federal District,E.D. Ark.,Unknown,Unknown,Yes,2013-08-14T15:23
arwd,District Court W.D. Arkansas,810,Federal District,W.D. Ark.,Unknown,Unknown,Yes,2013-10-22T08:48
californiad,District Court D. California,8,Federal District,D. Cal.,1866-07-27,1886-08-05,Yes,2013-08-14T15:23
cacd,District Court C.D. California,3246,Federal District,C.D. Cal.,Unknown,Unknown,Yes,2013-08-19T17:00
caed,District Court E.D. California,1258,Federal District,E.D. Cal.,Unknown,Unknown,Yes,2014-06-13T11:53
cand,District Court N.D. California,4669,Federal District,N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T15:23
casd,District Court S.D. California,1725,Federal District,S.D. Cal.,Unknown,Unknown,Yes,2013-08-14T15:23
cod,District Court D. Colorado,3237,Federal District,D. Colo.,Unknown,Unknown,Yes,2013-08-14T15:23
ctd,District Court D. Connecticut,4495,Federal District,D. Conn.,Unknown,Unknown,Yes,2013-08-14T15:23
ded,District Court D. Delaware,3748,Federal District,D. Del.,Unknown,Unknown,Yes,2013-08-14T15:23
fld,District Court D. Florida,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
flmd,District Court M.D. Florida,2998,Federal District,M.D. Fla.,Unknown,Unknown,Yes,2013-08-15T09:43
flnd,District Court N.D. Florida,536,Federal District,N.D. Fla.,Unknown,Unknown,Yes,2013-08-15T09:43
flsd,District Court S.D. Florida,4193,Federal District,S.D. Fla.,Unknown,Unknown,Yes,2013-08-14T15:23
gad,District Court D. Georgia,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
gamd,District Court M.D. Georgia,837,Federal District,,Unknown,Unknown,Yes,2013-08-14T15:23
gand,District Court N.D. Georgia,2814,Federal District,N.D. Ga.,Unknown,Unknown,Yes,2013-08-14T15:23
gasd,District Court S.D. Georgia,771,Federal District,S.D. Ga.,Unknown,Unknown,Yes,2013-10-22T08:48
hid,District Court D. Hawaii,1321,Federal District,D. Haw.,Unknown,Unknown,Yes,2013-08-15T09:58
idd,District Court D. Idaho,430,Federal District,D. Idaho,Unknown,Unknown,Yes,2013-08-14T15:23
ilcd,District Court C.D. Illinois,1029,Federal District,C.D. Ill.,Unknown,Unknown,Yes,2013-08-14T22:33
ilnd,District Court N.D. Illinois,12460,Federal District,N.D. Ill.,Unknown,Unknown,Yes,2013-08-14T15:23
ilsd,District Court S.D. Illinois,505,Federal District,S.D. Ill.,Unknown,Unknown,Yes,2013-08-14T15:23
illinoised,District Court E.D. Illinois,184,Federal District,E.D. Ill.,3/3/1905,10/2/1978,Yes,2013-10-22T08:49
illinoisd,District Court D. Illinois,1,Federal District,D. Ill.,1819-03-03,1855-02-13,Yes,2013-09-07T15:00
innd,District Court N.D. Indiana,1829,Federal District,N.D. Ind.,Unknown,Unknown,Yes,2013-08-19T17:50
insd,District Court S.D. Indiana,1387,Federal District,S.D. Ind.,Unknown,Unknown,Yes,2013-08-19T17:51
indianad,District Court D. Indiana,3,Federal District,D. Ind.,1817-03-03,4/21/1928,Yes,2013-08-14T15:23
iad,District Court D. Iowa,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
iand,District Court N.D. Iowa,1230,Federal District,N.D. Iowa,Unknown,Unknown,Yes,2013-08-14T15:23
iasd,District Court S.D. Iowa,1165,Federal District,S.D. Iowa,Unknown,Unknown,Yes,2013-10-22T08:49
ksd,District Court D. Kansas,4748,Federal District,,Unknown,Unknown,Yes,2013-08-14T15:23
kyd,District Court D. Kentucky,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
kyed,District Court E.D. Kentucky,863,Federal District,E.D. Ky.,Unknown,Unknown,Yes,2013-10-22T08:49
kywd,District Court W.D. Kentucky,1011,Federal District,W.D. Ky.,Unknown,Unknown,Yes,2013-08-14T15:23
lad,District Court D. Louisiana,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
laed,District Court E.D. Louisiana.,2763,Federal District,E.D. La.,Unknown,Unknown,Yes,2013-08-14T15:23
lamd,District Court M.D. Louisiana,706,Federal District,M.D. La.,Unknown,Unknown,Yes,2013-08-15T10:47
lawd,District Court W.D. Louisiana,1223,Federal District,W.D. La.,Unknown,Unknown,Yes,2013-08-14T15:23
orld,District Court Orleans,0,Federal District,,1804-10-01,1812-04-08,Yes,2016-03-16T18:01
med,District Court D. Maine,2505,Federal District,D. Me.,Unknown,Unknown,Yes,2013-08-14T15:23
mdd,District Court D. Maryland,5001,Federal District,D. Maryland,Unknown,Unknown,Yes,2013-08-14T15:23
mad,District Court D. Massachusetts,7532,Federal District,D. Mass.,Unknown,Unknown,Yes,2013-08-14T15:23
michd,District Court D. Michigan,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
mied,District Court E.D. Michigan,5436,Federal District,E.D. Mich.,Unknown,Unknown,Yes,2013-08-14T15:23
miwd,District Court W.D. Michigan,1696,Federal District,,Unknown,Unknown,Yes,2013-10-22T08:50
mnd,District Court D. Minnesota,3249,Federal District,D. Minnesota,Unknown,Unknown,Yes,2013-08-14T15:23
missd,District Court D. Mississippi,0,Federal District,,Unknown,Unknown,Yes,2016-03-16T18:01
